Year,Fires,Acres,Forest Service ($),DOI Agencies ($),Total ($)
2022,"68,988","7,577,183",2900000000,649000000,3549000000
2021,"58,985","7,125,643",3741000000,648000000,4389000000
2020,"58,950","10,122,336",1764000000,510000000,2274000000
2019,"50,477","4,664,364",1150000000,440000000,1590000000
2018,"58,083","8,767,492",2615256000,528000000,3143256000
2017,"71,499","10,026,086",2410165000,508000000,2918165000
2016,"67,595","5,503,538",1603806000,371739000,1975545000
2015,"68,151","10,125,149",1713000000,417543000,2130543000
2014,"63,212","3,595,613",1195955000,326194000,1522149000
2013,"47,579","4,319,546",1341735000,399199000,1740934000
2012,"67,774","9,326,238",1436614000,465832000,1902446000
2011,"74,126","8,711,367",1055736000,318789000,1374525000
2010,"71,971","3,422,724",578285000,231214000,809499000
2009,"78,792","5,921,786",702111000,218418000,920529000
2008,"78,979","5,292,468",1193073000,392783000,1585856000
2007,"85,705","9,328,045",1149654000,470491000,1620145000
2006,"96,385","9,873,745",1280419000,424058000,1704477000
2005,"66,753","8,689,389",524900000,294054000,818954000
2004,"65,461","8,097,880",726000000,281244000,1007244000
2003,"63,629","3,960,842",1023500000,303638000,1327138000
2002,"73,457","7,184,712",1279000000,395040000,1674040000
2001,"84,079","3,570,911",683122000,269574000,952696000